locale,audio_id,provider,model,num_segments,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,SemanticSim,LevenshteinSim,Language,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s
es-PE,Latam_SPA_PE_071,aws_transcribe,aws-transcribe,65,76.373,5.17%,0.0221,0.0513,0.0815,0.9185,66,3.1,29,1.4,14,0.7,0.9927,0.9779,Spanish,Spanish,Peruvian Spanish,15.25,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,Lima,101,0
es-VE,Latam_SPA_VE_004,gemini_pro,gemini-2.5-pro,81,82.518,5.11%,0.0364,0.0508,0.067,0.933,25,1.6,46,3,7,0.5,0.9931,0.9636,Spanish,Spanish,Venezuelan Spanish,9.85,Short,Unknown,Isla de margaria,Unknown,No Overlap,Medium,Medium,Isla de margaria,Caracas,76,0
es-PE,Latam_SPA_PE_071,speechmatics,speechmatics-batch,47,30.128,5.07%,0.0246,0.0504,0.0736,0.9264,50,2.4,45,2.1,12,0.6,0.9968,0.9754,Spanish,Spanish,Peruvian Spanish,15.25,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,Lima,101,0
es-VE,Latam_SPA_VE_028,openai_gpt4o,gpt-4o-transcribe,86,41.291,4.88%,0.0294,0.0487,0.0731,0.9269,38,2.5,34,2.2,2,0.1,0.9996,0.9706,Spanish,Spanish,Venezuelan Spanish,10.2,Medium,Unknown,GUAYANA,Unknown,No Overlap,Low,Medium,GUAYANA,Puerto ordaz,53,0
es-PE,Latam_SPA_PE_065,gemini_pro,gemini-2.5-pro,82,128.143,4.80%,0.031,0.0478,0.0665,0.9335,51,1.9,61,2.3,16,0.6,0.9538,0.969,Spanish,Spanish,Peruvian Spanish,15.27,Medium,Unknown,Trujillo,Unknown,No Overlap,Medium,Medium,Trujillo,Lima,61,0
es-PE,Latam_SPA_PE_071,deepgram,nova-3,238,11.59,4.79%,0.0292,0.0478,0.0655,0.9345,38,1.8,61,2.9,2,0.1,0.9875,0.9708,Spanish,Spanish,Peruvian Spanish,15.25,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,Lima,101,0
vi-VN,QuangDung_19_3001,assemblyai,universal,47,66.031,4.77%,0.0249,0.0472,0.0775,0.9225,184,3.2,32,0.5,62,1.1,0.981,0.9752,Vietnamese,Vietnamese,Vietnamese,30.02,Long,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.62,0
pt-BR,Latam_POR_BR_300,gemini_pro,gemini-2.5-pro,73,83.952,4.75%,0.0198,0.0474,0.0838,0.9162,67,3.8,12,0.7,5,0.3,0.9998,0.9802,Portuguese,Portuguese,Brazilian Portuguese,16.4,Medium,Unknown,Jacareí,Unknown,No Overlap,Medium,Low,Jacareí,Jacareí,67,0
es-PE,Latam_SPA_PE_035,gemini_flash,gemini-2.5-flash,100,56.28,4.64%,0.0293,0.0459,0.0557,0.9443,18,1,49,2.6,19,1,0.9971,0.9707,Spanish,Spanish,Peruvian Spanish,15.43,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,São Paulo,121,0
pt-BR,Latam_POR_BR_300,soniox,stt-async-v4,14,47.53,4.64%,0.0161,0.0463,0.0821,0.9179,66,3.7,11,0.6,5,0.3,0.9998,0.9839,Portuguese,Portuguese,Brazilian Portuguese,16.4,Medium,Unknown,Jacareí,Unknown,No Overlap,Medium,Low,Jacareí,Jacareí,67,0
