locale,audio_id,provider,model,num_segments,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,SemanticSim,LevenshteinSim,Language,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s
pt-BR,Latam_POR_BR_208,gemini_pro,gemini-2.5-pro,27,132.472,382.24%,2.3433,0.8031,0.8144,0.1856,25,3.6,18,2.6,2583,376,0.9958,0.2891,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
pt-BR,Latam_POR_BR_208,gemini_flash,gemini-2.5-flash,188,103.162,109.32%,0.9706,0.5345,0.5543,0.4457,25,3.6,8,1.2,718,104.5,0.9948,0.5003,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
pt-BR,Latam_POR_BR_208,microsoft,ConversationTranscriber,6,48.22,75.98%,0.7594,0.7587,0.7734,0.2266,10,1.5,511,74.4,1,0.1,0.9457,0.2406,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
pt-BR,Latam_POR_BR_046,microsoft,ConversationTranscriber,89,425.997,55.18%,0.5201,0.5478,0.5739,0.4261,107,2.4,2314,52,33,0.7,0.9895,0.4799,Portuguese,Portuguese,Brazilian Portuguese,31,Long,Unknown,São Paulo,Unknown,No Overlap,High,Medium,São Paulo,Lauro de freitas,223,0
pt-BR,Latam_POR_BR_046,gemini_pro,gemini-2.5-pro,90,191.333,54.35%,0.5167,0.5404,0.5613,0.4387,85,1.9,2306,51.9,26,0.6,0.9875,0.4833,Portuguese,Portuguese,Brazilian Portuguese,31,Long,Unknown,São Paulo,Unknown,No Overlap,High,Medium,São Paulo,Lauro de freitas,223,0
vi-VN,PhongThanh_16_3000,gemini_pro,gemini-2.5-pro,182,240.017,47.62%,0.4302,0.4745,0.5415,0.4585,491,7.6,2575,39.7,23,0.4,0.9705,0.5698,Vietnamese,Vietnamese,Vietnamese,30,Long,Male,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
es-PE,Latam_SPA_PE_056,microsoft,ConversationTranscriber,109,605.481,42.63%,0.3797,0.424,0.4599,0.5401,155,3.6,1635,38.4,23,0.5,0.9803,0.6203,Spanish,Spanish,Peruvian Spanish,30.07,Long,Unknown,Lima,Unknown,No Overlap,High,Low,Lima,Lima,151,0
es-PE,Latam_SPA_PE_056,gladia,gladia-v2,854,46.519,35.93%,0.2795,0.3559,0.4304,0.5696,351,8.3,1137,26.7,40,0.9,0.979,0.7205,Spanish,Spanish,Peruvian Spanish,30.07,Long,Unknown,Lima,Unknown,No Overlap,High,Low,Lima,Lima,151,0
pt-BR,Latam_POR_BR_208,openai_gpt4o,gpt-4o-transcribe,64,47.459,33.04%,0.2786,0.3285,0.3985,0.6015,53,7.7,170,24.7,4,0.6,0.9787,0.7214,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
pt-BR,Latam_POR_BR_208,openai_gpt4o_mini,gpt-4o-mini-transcribe,66,42.058,33.04%,0.2764,0.3285,0.4031,0.5969,57,8.3,166,24.2,4,0.6,0.9787,0.7236,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
pt-BR,Latam_POR_BR_024,gladia,gladia-v2,636,26.983,32.61%,0.2314,0.3212,0.4145,0.5855,321,10.7,614,20.4,46,1.5,0.8729,0.7686,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
vi-VN,HnamLien_04_3013.wav,gladia,gladia-v2,992,54.116,31.70%,0.2473,0.2956,0.3877,0.6123,515,10.4,696,14.1,357,7.2,0.8521,0.7527,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
pt-BR,Latam_POR_BR_308,gladia,gladia-v2,792,36.559,31.44%,0.2112,0.31,0.4185,0.5815,429,12.8,575,17.2,48,1.4,0.9748,0.7888,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
vi-VN,HnamLien_08_3007.wav,openai_gpt4o_mini,gpt-4o-mini-transcribe,376,141.568,30.89%,0.2504,0.303,0.3832,0.6168,461,8.9,1047,20.1,101,1.9,0.778,0.7496,Vietnamese,Vietnamese,Vietnamese,30.12,Long,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,51.69,0
es-VE,Latam_SPA_VE_036,gladia,gladia-v2,417,39.643,29.61%,0.2273,0.2937,0.3861,0.6139,209,10.6,361,18.2,16,0.8,0.8024,0.7727,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
pt-BR,Latam_POR_BR_217,gladia,gladia-v2,762,55.203,28.93%,0.2013,0.2848,0.3688,0.6312,288,9.4,551,18,49,1.6,0.9529,0.7987,Portuguese,Portuguese,Brazilian Portuguese,15.17,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Low,High,Rio de Janeiro,Florianópolis,56,0
vi-VN,HnamLien_08_3007.wav,openai_gpt4o,gpt-4o-transcribe,425,145.304,28.80%,0.2269,0.2825,0.3654,0.6346,480,9.2,919,17.6,101,1.9,0.778,0.7731,Vietnamese,Vietnamese,Vietnamese,30.12,Long,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,51.69,0
es-PE,Latam_SPA_PE_023,gladia,gladia-v2,479,33.637,28.78%,0.2257,0.2851,0.3558,0.6442,183,7.7,475,20.1,23,1,0.8234,0.7743,Spanish,Spanish,Peruvian Spanish,15.08,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,Cusco,110,0
vi-VN,HuyenMai_26_0509.wav,speechmatics,speechmatics-batch,11,20.434,28.14%,0.1467,0.2721,0.4404,0.5596,284,22.6,27,2.1,43,3.4,0.9177,0.8567,Vietnamese,Vietnamese,Vietnamese,5.15,Short,Female,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
pt-BR,Latam_POR_BR_145,gladia,gladia-v2,349,31.986,28.08%,0.1883,0.2772,0.3628,0.6372,111,9.6,198,17.2,15,1.3,0.9479,0.8117,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,Mogi das Cruzes,Unknown,No Overlap,Medium,Medium,Mogi das Cruzes,Rio Claro,148,0
es-VE,Latam_SPA_VE_032,gladia,gladia-v2,344,32.57,27.95%,0.1991,0.2772,0.3557,0.6443,160,8.7,337,18.4,15,0.8,0.916,0.8009,Spanish,Spanish,Venezuelan Spanish,10.28,Medium,Unknown,Turmero,Unknown,No Overlap,Medium,High,Turmero,Caracas,84,0
vi-VN,HuyenMai_26_0509.wav,assemblyai,universal,11,43.906,27.90%,0.1567,0.2704,0.4279,0.5721,259,20.6,52,4.1,40,3.2,0.9081,0.8433,Vietnamese,Vietnamese,Vietnamese,5.15,Short,Female,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
es-VE,Latam_SPA_VE_031,gladia,gladia-v2,401,32.563,27.56%,0.1856,0.2702,0.376,0.624,219,12.4,234,13.2,35,2,0.8525,0.8144,Spanish,Spanish,Venezuelan Spanish,10.38,Medium,Unknown,caracas,Unknown,No Overlap,Medium,Medium,caracas,Caracas,100,0
vi-VN,HuyenMai_26_0509.wav,microsoft,ConversationTranscriber,14,150.798,27.34%,0.1359,0.2646,0.4373,0.5627,293,23.3,9,0.7,42,3.3,0.9063,0.8685,Vietnamese,Vietnamese,Vietnamese,5.15,Short,Female,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
es-VE,Latam_SPA_VE_038,gladia,gladia-v2,479,43.193,27.26%,0.1818,0.2686,0.3679,0.6321,290,11.5,362,14.3,38,1.5,0.7854,0.8182,Spanish,Spanish,Venezuelan Spanish,12.95,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,91,0
es-VE,Latam_SPA_VE_031,aws_transcribe,aws-transcribe,67,61.085,27.10%,0.2155,0.2688,0.3426,0.6574,144,8.1,321,18.1,15,0.8,0.7891,0.7845,Spanish,Spanish,Venezuelan Spanish,10.38,Medium,Unknown,caracas,Unknown,No Overlap,Medium,Medium,caracas,Caracas,100,0
vi-VN,HieuTu_09_1510.wav,gladia,gladia-v2,532,41.496,27.00%,0.1592,0.2635,0.4236,0.5764,745,20.9,130,3.6,88,2.5,0.8886,0.8408,Vietnamese,Vietnamese,Vietnamese,15.17,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.5,0
vi-VN,HuyenMai_26_0509.wav,aws_transcribe,aws-transcribe,16,45.754,26.87%,0.1323,0.26,0.4288,0.5712,284,22.6,12,1,42,3.3,0.9364,0.8717,Vietnamese,Vietnamese,Vietnamese,5.15,Short,Female,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
vi-VN,HuyenMai_26_0509.wav,deepgram,nova-3,16,7.187,26.79%,0.133,0.2596,0.4269,0.5731,280,22.3,17,1.4,40,3.2,0.9148,0.8705,Vietnamese,Vietnamese,Vietnamese,5.15,Short,Female,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
es-PE,Latam_SPA_PE_057,gladia,gladia-v2,466,37.253,26.76%,0.1789,0.2647,0.3659,0.6341,224,11.7,267,14,21,1.1,0.9526,0.8211,Spanish,Spanish,Peruvian Spanish,20.17,Long,Unknown,Lima,Unknown,No Overlap,High,Medium,Lima,LIMA,240,0
vi-VN,HuyenMai_26_0509.wav,gemini_pro,gemini-2.5-pro,29,58.709,26.71%,0.1333,0.2583,0.4266,0.5734,283,22.5,10,0.8,43,3.4,0.8863,0.8711,Vietnamese,Vietnamese,Vietnamese,5.15,Short,Female,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
vi-VN,HuyenMai_26_0509.wav,elevenlabs,scribe_v2,11,34.077,26.63%,0.1317,0.2575,0.4254,0.5746,282,22.4,10,0.8,43,3.4,0.8884,0.8726,Vietnamese,Vietnamese,Vietnamese,5.15,Short,Female,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
vi-VN,HuyenMai_26_0509.wav,gemini_flash,gemini-2.5-flash,80,43.492,26.55%,0.1346,0.2569,0.4232,0.5768,278,22.1,14,1.1,42,3.3,0.8907,0.8694,Vietnamese,Vietnamese,Vietnamese,5.15,Short,Female,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
vi-VN,HuyenMai_26_0509.wav,soniox,stt-async-v4,11,33.793,26.31%,0.1315,0.2544,0.4229,0.5771,283,22.5,5,0.4,43,3.4,0.9107,0.8733,Vietnamese,Vietnamese,Vietnamese,5.15,Short,Female,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
vi-VN,HuyenMai_26_0509.wav,openai_gpt4o_mini,gpt-4o-mini-transcribe,33,26.667,26.15%,0.1254,0.255,0.4269,0.5731,288,22.9,9,0.7,32,2.5,0.9199,0.8774,Vietnamese,Vietnamese,Vietnamese,5.15,Short,Female,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
vi-VN,HuyenMai_26_0509.wav,gladia,gladia-v2,159,59.189,26.15%,0.1328,0.2531,0.4163,0.5837,271,21.5,16,1.3,42,3.3,0.9156,0.871,Vietnamese,Vietnamese,Vietnamese,5.15,Short,Female,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
vi-VN,QuangDung_19_3001,gemini_flash,gemini-2.5-flash,315,298.729,26.15%,0.2054,0.2583,0.3468,0.6532,582,10,870,14.9,71,1.2,0.9595,0.7946,Vietnamese,Vietnamese,Vietnamese,30.02,Long,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.62,0
vi-VN,HuyenMai_26_0509.wav,openai_gpt4o,gpt-4o-transcribe,33,37.241,25.91%,0.1257,0.2525,0.4221,0.5779,283,22.5,10,0.8,33,2.6,0.9199,0.8772,Vietnamese,Vietnamese,Vietnamese,5.15,Short,Female,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
pt-BR,Latam_POR_BR_024,openai_gpt4o,gpt-4o-transcribe,374,73.709,25.90%,0.1818,0.256,0.317,0.683,196,6.5,548,18.2,35,1.2,0.874,0.8182,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
pt-BR,Latam_POR_BR_024,openai_gpt4o_mini,gpt-4o-mini-transcribe,374,77.471,25.90%,0.1818,0.256,0.317,0.683,196,6.5,548,18.2,35,1.2,0.874,0.8182,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
pt-BR,Latam_POR_BR_193,gladia,gladia-v2,713,27.504,25.64%,0.1775,0.2524,0.33,0.67,258,8.6,467,15.5,48,1.6,0.9262,0.8225,Portuguese,Portuguese,Brazilian Portuguese,15.07,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio de Janeiro,60,0
pt-BR,Latam_POR_BR_308,assemblyai,universal,120,45.414,25.07%,0.1655,0.2471,0.3279,0.6721,300,9,490,14.6,49,1.5,0.9853,0.8345,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
pt-BR,Latam_POR_BR_217,assemblyai,universal,127,46.991,24.99%,0.1653,0.2465,0.3109,0.6891,212,6.9,513,16.7,42,1.4,0.9624,0.8347,Portuguese,Portuguese,Brazilian Portuguese,15.17,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Low,High,Rio de Janeiro,Florianópolis,56,0
pt-BR,Latam_POR_BR_275,gladia,gladia-v2,525,34.045,24.65%,0.1633,0.2443,0.3225,0.6775,188,8.7,327,15.1,20,0.9,0.9393,0.8367,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,186,0
es-VE,Latam_SPA_VE_032,assemblyai,universal,57,22.149,24.62%,0.1844,0.2451,0.285,0.715,76,4.1,367,20,8,0.4,0.9056,0.8156,Spanish,Spanish,Venezuelan Spanish,10.28,Medium,Unknown,Turmero,Unknown,No Overlap,Medium,High,Turmero,Caracas,84,0
pt-BR,Latam_POR_BR_024,assemblyai,universal,108,35.21,24.43%,0.1644,0.2408,0.2993,0.7007,186,6.2,505,16.8,44,1.5,0.9032,0.8356,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
pt-BR,Latam_POR_BR_217,speechmatics,speechmatics-batch,125,40.38,24.41%,0.1631,0.2429,0.299,0.701,184,6,551,18,14,0.5,0.9436,0.8369,Portuguese,Portuguese,Brazilian Portuguese,15.17,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Low,High,Rio de Janeiro,Florianópolis,56,0
vi-VN,HnamLien_04_3013.wav,speechmatics,speechmatics-batch,44,222.67,24.18%,0.1799,0.222,0.3063,0.6937,488,9.9,267,5.4,441,8.9,0.9236,0.8283,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
vi-VN,HnamLien_08_3007.wav,gladia,gladia-v2,1052,50.148,24.15%,0.1783,0.2335,0.3276,0.6724,561,10.8,518,9.9,179,3.4,0.903,0.8217,Vietnamese,Vietnamese,Vietnamese,30.12,Long,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,51.69,0
es-PE,Latam_SPA_PE_018,gladia,gladia-v2,430,30.361,24.04%,0.1666,0.2379,0.2987,0.7013,151,6.5,382,16.5,25,1.1,0.9415,0.8334,Spanish,Spanish,Peruvian Spanish,15.15,Medium,Unknown,Nuevo Chimbote,Unknown,No Overlap,Medium,Medium,Nuevo Chimbote,Trujillo,75,0
es-VE,Latam_SPA_VE_036,assemblyai,universal,40,23.43,24.00%,0.1859,0.2397,0.2973,0.7027,123,6.2,349,17.6,3,0.2,0.8838,0.8141,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
vi-VN,HieuTu_09_1510.wav,microsoft,ConversationTranscriber,42,451.84,23.61%,0.1265,0.2299,0.3848,0.6152,709,19.9,38,1.1,95,2.7,0.8807,0.8759,Vietnamese,Vietnamese,Vietnamese,15.17,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.5,0
vi-VN,HnamLien_04_3013.wav,deepgram,nova-3,233,20.653,23.55%,0.1791,0.2165,0.2977,0.7023,466,9.4,265,5.4,434,8.8,0.9096,0.8284,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
vi-VN,HieuTu_09_1510.wav,openai_gpt4o,gpt-4o-transcribe,349,81.524,23.35%,0.144,0.2288,0.3608,0.6392,576,16.1,184,5.2,73,2,0.8134,0.856,Vietnamese,Vietnamese,Vietnamese,15.17,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.5,0
vi-VN,HieuTu_09_1510.wav,speechmatics,speechmatics-batch,5,48.185,23.18%,0.1282,0.2269,0.3695,0.6305,635,17.8,114,3.2,78,2.2,0.8889,0.8718,Vietnamese,Vietnamese,Vietnamese,15.17,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.5,0
pt-BR,Latam_POR_BR_024,speechmatics,speechmatics-batch,118,42.923,23.04%,0.1453,0.2284,0.3014,0.6986,241,8,426,14.2,26,0.9,0.9546,0.8547,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
pt-BR,Latam_POR_BR_308,speechmatics,speechmatics-batch,124,53.01,23.04%,0.1436,0.2291,0.3106,0.6894,304,9.1,448,13.4,19,0.6,0.9707,0.8564,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
es-AR,Latam_SPA_AR_001,gladia,gladia-v2,448,30.8,22.81%,0.1629,0.2269,0.2873,0.7127,133,6.5,322,15.8,11,0.5,0.9918,0.8371,Spanish,Spanish,Argentinian Spanish,15.12,Medium,Unknown,Tucuman,Unknown,No Overlap,Medium,Medium,Tucuman,tucuman,129,0
es-VE,Latam_SPA_VE_031,microsoft,ConversationTranscriber,69,303.236,22.81%,0.145,0.2254,0.3355,0.6645,228,12.9,155,8.8,21,1.2,0.8949,0.855,Spanish,Spanish,Venezuelan Spanish,10.38,Medium,Unknown,caracas,Unknown,No Overlap,Medium,Medium,caracas,Caracas,100,0
es-VE,Latam_SPA_VE_031,assemblyai,universal,41,27.019,22.64%,0.1624,0.2257,0.2953,0.7047,135,7.6,260,14.7,6,0.3,0.8129,0.8376,Spanish,Spanish,Venezuelan Spanish,10.38,Medium,Unknown,caracas,Unknown,No Overlap,Medium,Medium,caracas,Caracas,100,0
pt-BR,Latam_POR_BR_275,assemblyai,universal,71,31.651,22.58%,0.1418,0.2235,0.2873,0.7127,149,6.9,319,14.7,22,1,0.9765,0.8582,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,186,0
pt-BR,Latam_POR_BR_217,aws_transcribe,aws-transcribe,113,76.579,22.32%,0.1701,0.2198,0.2795,0.7205,195,6.4,442,14.4,48,1.6,0.9697,0.8299,Portuguese,Portuguese,Brazilian Portuguese,15.17,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Low,High,Rio de Janeiro,Florianópolis,56,0
vi-VN,HnamLien_04_3013.wav,microsoft,ConversationTranscriber,148,897.254,22.30%,0.1545,0.2066,0.2858,0.7142,451,9.1,260,5.3,392,7.9,0.8772,0.8494,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
pt-BR,Latam_POR_BR_308,microsoft,ConversationTranscriber,189,593.768,22.09%,0.1198,0.2163,0.3323,0.6677,461,13.8,207,6.2,71,2.1,0.9865,0.8802,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
vi-VN,HieuTu_09_1510.wav,deepgram,nova-3,48,12.426,22.09%,0.1211,0.2162,0.3599,0.6401,640,17.9,70,2,78,2.2,0.8844,0.8802,Vietnamese,Vietnamese,Vietnamese,15.17,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.5,0
es-VE,Latam_SPA_VE_036,aws_transcribe,aws-transcribe,71,61.104,22.08%,0.1849,0.2193,0.2786,0.7214,126,6.4,297,15,14,0.7,0.8327,0.8151,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
vi-VN,ThaoLe_04_4903.wav,gemini_flash,gemini-2.5-flash,836,595.978,22.04%,0.1531,0.2115,0.3122,0.6878,1374,11.8,701,6,494,4.2,0.99,0.8469,Vietnamese,Vietnamese,Vietnamese,49.05,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,45.77,0
pt-BR,Latam_POR_BR_308,openai_gpt4o,gpt-4o-transcribe,561,96.666,22.03%,0.1457,0.2173,0.2832,0.7168,238,7.1,453,13.5,46,1.4,0.9884,0.8543,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
es-VE,Latam_SPA_VE_031,gemini_flash,gemini-2.5-flash,205,80.133,22.02%,0.163,0.2097,0.2955,0.7045,173,9.8,128,7.2,89,5,0.8347,0.837,Spanish,Spanish,Venezuelan Spanish,10.38,Medium,Unknown,caracas,Unknown,No Overlap,Medium,Medium,caracas,Caracas,100,0
pt-BR,Latam_POR_BR_193,speechmatics,speechmatics-batch,97,35.936,21.99%,0.1413,0.2184,0.2805,0.7195,202,6.7,440,14.6,21,0.7,0.9762,0.8587,Portuguese,Portuguese,Brazilian Portuguese,15.07,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio de Janeiro,60,0
pt-BR,Latam_POR_BR_308,openai_gpt4o_mini,gpt-4o-mini-transcribe,550,77.577,21.82%,0.1432,0.2155,0.2811,0.7189,237,7.1,451,13.5,42,1.3,0.9885,0.8568,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
es-AR,Latam_SPA_AR_009,gladia,gladia-v2,632,29.038,21.72%,0.1526,0.2155,0.297,0.703,289,9.1,378,11.9,25,0.8,0.9745,0.8474,Spanish,Spanish,Argentinian Spanish,20.27,Long,Unknown,Buenos aires,Unknown,No Overlap,Medium,Medium,Buenos aires,El bolson,106,0
es-VE,Latam_SPA_VE_016,gladia,gladia-v2,1109,44.01,21.69%,0.1532,0.215,0.2823,0.7177,369,7.3,681,13.5,45,0.9,0.8728,0.8468,Spanish,Spanish,Venezuelan Spanish,30.3,Long,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Caracas,149,0
vi-VN,HieuTu_09_1510.wav,elevenlabs,scribe_v2,16,48.908,21.64%,0.116,0.2104,0.3535,0.6465,641,18,28,0.8,103,2.9,0.8899,0.8873,Vietnamese,Vietnamese,Vietnamese,15.17,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.5,0
pt-BR,Latam_POR_BR_308,aws_transcribe,aws-transcribe,181,91.869,21.61%,0.1463,0.2126,0.2963,0.7037,313,9.4,355,10.6,55,1.6,0.9809,0.8537,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
es-VE,Latam_SPA_VE_038,assemblyai,universal,44,22.846,21.57%,0.1602,0.215,0.2667,0.7333,139,5.5,399,15.8,8,0.3,0.7496,0.8398,Spanish,Spanish,Venezuelan Spanish,12.95,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,91,0
vi-VN,HieuTu_09_1510.wav,aws_transcribe,aws-transcribe,48,76.536,21.39%,0.1159,0.2093,0.3543,0.6457,646,18.1,39,1.1,78,2.2,0.8898,0.8857,Vietnamese,Vietnamese,Vietnamese,15.17,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.5,0
vi-VN,DatVu_02_1503.wav,gladia,gladia-v2,395,52.297,21.29%,0.1315,0.2108,0.3297,0.6703,361,14.1,160,6.2,25,1,0.8921,0.8685,Vietnamese,Vietnamese,Vietnamese,15.05,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,42.29,0
pt-BR,Latam_POR_BR_024,aws_transcribe,aws-transcribe,118,76.434,21.14%,0.1388,0.2073,0.2839,0.7161,254,8.4,322,10.7,60,2,0.9438,0.8612,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
vi-VN,HnamLien_04_3013.wav,elevenlabs,scribe_v2,84,74.28,21.12%,0.1599,0.195,0.2639,0.7361,384,7.8,250,5.1,411,8.3,0.9212,0.8464,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
vi-VN,HieuTu_09_1510.wav,assemblyai,universal,9,37.488,21.11%,0.1139,0.2065,0.3453,0.6547,612,17.2,62,1.7,79,2.2,0.8913,0.8873,Vietnamese,Vietnamese,Vietnamese,15.17,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.5,0
pt-BR,Latam_POR_BR_046,gladia,gladia-v2,953,39.058,21.05%,0.1334,0.2076,0.2632,0.7368,261,5.9,614,13.8,61,1.4,0.9727,0.8666,Portuguese,Portuguese,Brazilian Portuguese,31,Long,Unknown,São Paulo,Unknown,No Overlap,High,Medium,São Paulo,Lauro de freitas,223,0
